id,deep,deep_allowed,deepNet,result,ppda_cal,allowed_ppda,ppdaNet,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,ShotNet,STNet,FNet,CNet,YNet,RNet,HtrgPerc,AtrgPerc,PercNet
433,21,4,17,w,12.3,29.9375,-17.6375,14,4,4,4,0,0,13,7,8,3,2,0,1,-3,-4,1,-2,0,0.285714286,0.538461538,-0.252747252
434,4,21,-17,l,29.9375,12.3,17.6375,14,4,4,4,0,0,13,7,8,3,2,0,1,-3,-4,1,-2,0,0.285714286,0.538461538,-0.252747252
435,5,7,-2,l,13.06666667,11.44,1.62666667,10,1,3,5,1,0,18,6,13,5,1,0,-8,-5,-10,0,0,0,0.1,0.333333333,-0.233333333
436,7,5,2,w,11.44,13.06666667,-1.62666667,10,1,3,5,1,0,18,6,13,5,1,0,-8,-5,-10,0,0,0,0.1,0.333333333,-0.233333333
437,1,20,-19,l,34.3125,7.633333333,26.67916667,7,1,5,2,2,0,22,12,12,4,1,0,-15,-11,-7,-2,1,0,0.142857143,0.545454545,-0.402597402
438,20,1,19,w,7.633333333,34.3125,-26.67916667,7,1,5,2,2,0,22,12,12,4,1,0,-15,-11,-7,-2,1,0,0.142857143,0.545454545,-0.402597402
439,13,9,4,d,7.294117647,9.166666667,-1.87254902,15,2,13,3,2,0,17,5,13,3,3,0,-2,-3,0,0,-1,0,0.133333333,0.294117647,-0.160784314
440,9,13,-4,d,9.166666667,7.294117647,1.87254902,15,2,13,3,2,0,17,5,13,3,3,0,-2,-3,0,0,-1,0,0.133333333,0.294117647,-0.160784314
441,6,1,5,d,9.444444444,8.972222222,0.472222222,11,4,9,4,1,0,12,4,13,5,2,0,-1,0,-4,-1,-1,0,0.363636364,0.333333333,0.030303031
442,4,7,-3,d,10.77777778,7.24137931,3.53639847,10,2,11,3,3,0,8,3,13,4,3,0,2,-1,-2,-1,0,0,0.2,0.375,-0.175
443,4,6,-2,l,13.75,9.764705882,3.985294118,16,5,10,4,2,1,6,3,10,5,2,1,10,2,0,-1,0,0,0.3125,0.5,-0.1875
444,7,4,3,d,7.24137931,10.77777778,-3.53639847,10,2,11,3,3,0,8,3,13,4,3,0,2,-1,-2,-1,0,0,0.2,0.375,-0.175
445,2,23,-21,d,29.5,4.923076923,24.57692308,25,6,9,14,1,0,5,3,7,2,2,0,20,3,2,12,-1,0,0.24,0.6,-0.36
446,4,2,2,d,8.259259259,9.8,-1.540740741,12,6,11,7,1,0,11,3,13,6,0,0,1,3,-2,1,1,0,0.5,0.272727273,0.227272727
447,23,2,21,d,4.923076923,29.5,-24.57692308,25,6,9,14,1,0,5,3,7,2,2,0,20,3,2,12,-1,0,0.24,0.6,-0.36
448,6,4,2,w,9.764705882,13.75,-3.985294118,16,5,10,4,2,1,6,3,10,5,2,1,10,2,0,-1,0,0,0.3125,0.5,-0.1875
449,1,6,-5,d,8.972222222,9.444444444,-0.472222222,11,4,9,4,1,0,12,4,13,5,2,0,-1,0,-4,-1,-1,0,0.363636364,0.333333333,0.030303031
450,2,5,-3,l,5.194444444,15.30769231,-10.11324787,11,5,13,1,2,0,8,4,12,3,1,0,3,1,1,-2,1,0,0.454545455,0.5,-0.045454545
451,2,4,-2,d,9.8,8.259259259,1.540740741,12,6,11,7,1,0,11,3,13,6,0,0,1,3,-2,1,1,0,0.5,0.272727273,0.227272727
452,5,2,3,w,15.30769231,5.194444444,10.11324787,11,5,13,1,2,0,8,4,12,3,1,0,3,1,1,-2,1,0,0.454545455,0.5,-0.045454545
453,11,3,8,l,4.233333333,23.27272727,-19.03939394,7,2,9,1,1,0,19,4,14,10,1,0,-12,-2,-5,-9,0,0,0.285714286,0.210526316,0.07518797
454,3,11,-8,w,23.27272727,4.233333333,19.03939394,7,2,9,1,1,0,19,4,14,10,1,0,-12,-2,-5,-9,0,0,0.285714286,0.210526316,0.07518797
455,3,14,-11,w,9.72,9.826086957,-0.106086957,8,5,14,4,1,0,18,8,8,5,0,0,-10,-3,6,-1,1,0,0.625,0.444444444,0.180555556
456,14,3,11,l,9.826086957,9.72,0.106086957,8,5,14,4,1,0,18,8,8,5,0,0,-10,-3,6,-1,1,0,0.625,0.444444444,0.180555556
457,12,5,7,w,11,15,-4,16,5,7,11,1,0,9,4,10,5,3,0,7,1,-3,6,-2,0,0.3125,0.444444444,-0.131944444
458,5,12,-7,l,15,11,4,16,5,7,11,1,0,9,4,10,5,3,0,7,1,-3,6,-2,0,0.3125,0.444444444,-0.131944444
459,6,1,5,w,6.173913043,9.272727273,-3.09881423,16,5,11,6,2,0,8,2,18,3,2,0,8,3,-7,3,0,0,0.3125,0.25,0.0625
460,6,4,2,w,11.12903226,6.428571429,4.700460831,11,3,9,5,1,0,21,8,12,8,1,0,-10,-5,-3,-3,0,0,0.272727273,0.380952381,-0.108225108
461,4,6,-2,l,6.428571429,11.12903226,-4.700460831,11,3,9,5,1,0,21,8,12,8,1,0,-10,-5,-3,-3,0,0,0.272727273,0.380952381,-0.108225108
462,9,8,1,l,7.833333333,4.5,3.333333333,6,0,12,0,1,0,15,6,13,8,2,0,-9,-6,-1,-8,-1,0,0,0.4,-0.4
463,5,2,3,d,11.72,15.08695652,-3.36695652,17,8,13,6,1,0,8,2,10,4,1,0,9,6,3,2,0,0,0.470588235,0.25,0.220588235
464,11,6,5,w,8.833333333,23,-14.16666667,4,1,13,5,4,0,18,5,13,13,3,0,-14,-4,0,-8,1,0,0.25,0.277777778,-0.027777778
465,2,5,-3,d,15.08695652,11.72,3.36695652,17,8,13,6,1,0,8,2,10,4,1,0,9,6,3,2,0,0,0.470588235,0.25,0.220588235
466,6,11,-5,l,23,8.833333333,14.16666667,4,1,13,5,4,0,18,5,13,13,3,0,-14,-4,0,-8,1,0,0.25,0.277777778,-0.027777778
467,8,9,-1,w,4.5,7.833333333,-3.333333333,6,0,12,0,1,0,15,6,13,8,2,0,-9,-6,-1,-8,-1,0,0,0.4,-0.4
468,1,6,-5,l,9.272727273,6.173913043,3.09881423,16,5,11,6,2,0,8,2,18,3,2,0,8,3,-7,3,0,0,0.3125,0.25,0.0625
469,2,21,-19,d,21.66666667,8.321428571,13.3452381,19,8,11,17,2,0,2,2,6,5,1,1,17,6,5,12,1,-1,0.421052632,1,-0.578947368
470,21,2,19,d,8.321428571,21.66666667,-13.3452381,19,8,11,17,2,0,2,2,6,5,1,1,17,6,5,12,1,-1,0.421052632,1,-0.578947368
471,18,2,16,w,5.954545455,15.8,-9.845454545,19,8,10,7,1,0,6,2,19,8,1,0,13,6,-9,-1,0,0,0.421052632,0.333333333,0.087719299
472,11,7,4,l,14.23529412,9.032258065,5.203036055,14,3,12,7,0,0,12,2,7,3,1,0,2,1,5,4,-1,0,0.214285714,0.166666667,0.047619047
473,7,11,-4,w,9.032258065,14.23529412,-5.203036055,14,3,12,7,0,0,12,2,7,3,1,0,2,1,5,4,-1,0,0.214285714,0.166666667,0.047619047
474,2,18,-16,l,15.8,5.954545455,9.845454545,19,8,10,7,1,0,6,2,19,8,1,0,13,6,-9,-1,0,0,0.421052632,0.333333333,0.087719299
475,3,11,-8,w,13.88461538,10.9,2.98461538,24,7,11,5,0,0,5,2,7,2,2,0,19,5,4,3,-2,0,0.291666667,0.4,-0.108333333
476,11,3,8,l,10.9,13.88461538,-2.98461538,24,7,11,5,0,0,5,2,7,2,2,0,19,5,4,3,-2,0,0.291666667,0.4,-0.108333333
477,2,4,-2,w,11.88888889,22.375,-10.48611111,10,3,6,2,0,0,13,6,11,4,1,0,-3,-3,-5,-2,-1,0,0.3,0.461538462,-0.161538462
478,4,2,2,l,22.375,11.88888889,10.48611111,10,3,6,2,0,0,13,6,11,4,1,0,-3,-3,-5,-2,-1,0,0.3,0.461538462,-0.161538462
479,11,2,9,w,7.481481481,38.35714286,-30.87566138,7,4,6,3,2,0,13,5,6,7,0,0,-6,-1,0,-4,2,0,0.571428571,0.384615385,0.186813186
480,2,11,-9,l,38.35714286,7.481481481,30.87566138,7,4,6,3,2,0,13,5,6,7,0,0,-6,-1,0,-4,2,0,0.571428571,0.384615385,0.186813186
481,8,5,3,d,14.63157895,7.848484848,6.783094102,14,4,16,4,2,0,7,3,14,6,2,0,7,1,2,-2,0,0,0.285714286,0.428571429,-0.142857143
482,5,8,-3,d,7.848484848,14.63157895,-6.783094102,14,4,16,4,2,0,7,3,14,6,2,0,7,1,2,-2,0,0,0.285714286,0.428571429,-0.142857143
483,7,8,-1,l,7.642857143,10,-2.357142857,16,6,10,1,1,1,18,5,15,8,3,0,-2,1,-5,-7,-2,1,0.375,0.277777778,0.097222222
484,8,7,1,w,10,7.642857143,2.357142857,16,6,10,1,1,1,18,5,15,8,3,0,-2,1,-5,-7,-2,1,0.375,0.277777778,0.097222222
485,9,5,4,d,6.333333333,17.33333333,-11,12,6,8,4,1,0,19,6,9,6,1,0,-7,0,-1,-2,0,0,0.5,0.315789474,0.184210526
486,6,4,2,l,11,10.31034483,0.68965517,13,3,9,9,3,0,10,3,15,5,2,0,3,0,-6,4,1,0,0.230769231,0.3,-0.069230769
487,5,2,3,w,8.285714286,9.24,-0.954285714,11,2,17,4,2,0,12,5,14,4,2,1,-1,-3,3,0,0,-1,0.181818182,0.416666667,-0.234848485
488,8,7,1,w,6.227272727,12.73913043,-6.511857703,16,9,9,6,0,0,17,4,15,11,2,0,-1,5,-6,-5,-2,0,0.5625,0.235294118,0.327205882
489,2,9,-7,d,11.31818182,7.692307692,3.625874128,15,5,10,8,2,0,19,4,15,12,1,0,-4,1,-5,-4,1,0,0.333333333,0.210526316,0.122807017
490,9,2,7,d,7.692307692,11.31818182,-3.625874128,15,5,10,8,2,0,19,4,15,12,1,0,-4,1,-5,-4,1,0,0.333333333,0.210526316,0.122807017
491,4,6,-2,w,10.31034483,11,-0.68965517,13,3,9,9,3,0,10,3,15,5,2,0,3,0,-6,4,1,0,0.230769231,0.3,-0.069230769
492,7,8,-1,l,12.73913043,6.227272727,6.511857703,16,9,9,6,0,0,17,4,15,11,2,0,-1,5,-6,-5,-2,0,0.5625,0.235294118,0.327205882
493,2,5,-3,l,9.24,8.285714286,0.954285714,11,2,17,4,2,0,12,5,14,4,2,1,-1,-3,3,0,0,-1,0.181818182,0.416666667,-0.234848485
494,5,9,-4,d,17.33333333,6.333333333,11,12,6,8,4,1,0,19,6,9,6,1,0,-7,0,-1,-2,0,0,0.5,0.315789474,0.184210526
495,7,4,3,d,7.24137931,9.344827586,-2.103448276,15,5,14,4,3,0,14,3,15,6,2,0,1,2,-1,-2,1,0,0.333333333,0.214285714,0.119047619
496,4,7,-3,d,9.344827586,7.24137931,2.103448276,15,5,14,4,3,0,14,3,15,6,2,0,1,2,-1,-2,1,0,0.333333333,0.214285714,0.119047619
497,4,4,0,d,6.636363636,11.16666667,-4.530303034,15,2,8,5,1,0,13,2,11,7,3,0,2,0,-3,-2,-2,0,0.133333333,0.153846154,-0.020512821
498,4,4,0,d,11.16666667,6.636363636,4.530303034,15,2,8,5,1,0,13,2,11,7,3,0,2,0,-3,-2,-2,0,0.133333333,0.153846154,-0.020512821
499,21,6,15,l,7.32,21.41176471,-14.09176471,3,3,8,2,2,0,18,5,14,6,3,1,-15,-2,-6,-4,-1,-1,1,0.277777778,0.722222222
500,6,21,-15,w,21.41176471,7.32,14.09176471,3,3,8,2,2,0,18,5,14,6,3,1,-15,-2,-6,-4,-1,-1,1,0.277777778,0.722222222
501,8,2,6,l,7.863636364,8.129032258,-0.265395894,14,8,11,4,0,0,10,2,12,6,1,0,4,6,-1,-2,-1,0,0.571428571,0.2,0.371428571
502,2,8,-6,w,8.129032258,7.863636364,0.265395894,14,8,11,4,0,0,10,2,12,6,1,0,4,6,-1,-2,-1,0,0.571428571,0.2,0.371428571
503,7,3,4,d,7.15,15.36363636,-8.21363636,10,2,9,3,2,0,5,2,12,2,2,0,5,0,-3,1,0,0,0.2,0.4,-0.2
504,3,7,-4,d,15.36363636,7.15,8.21363636,10,2,9,3,2,0,5,2,12,2,2,0,5,0,-3,1,0,0,0.2,0.4,-0.2
505,8,10,-2,l,10.15,9.368421053,0.781578947,16,6,10,8,2,0,10,2,8,4,2,0,6,4,2,4,0,0,0.375,0.2,0.175
506,10,8,2,w,9.368421053,10.15,-0.781578947,16,6,10,8,2,0,10,2,8,4,2,0,6,4,2,4,0,0,0.375,0.2,0.175
507,3,6,-3,d,6.5,15.38888889,-8.88888889,15,3,13,7,2,0,9,3,10,0,2,1,6,0,3,7,0,-1,0.2,0.333333333,-0.133333333
508,6,3,3,d,15.38888889,6.5,8.88888889,15,3,13,7,2,0,9,3,10,0,2,1,6,0,3,7,0,-1,0.2,0.333333333,-0.133333333
509,2,6,-4,w,9.92,7.444444444,2.475555556,10,2,8,4,2,0,9,6,11,3,2,0,1,-4,-3,1,0,0,0.2,0.666666667,-0.466666667
510,6,2,4,l,7.444444444,9.92,-2.475555556,10,2,8,4,2,0,9,6,11,3,2,0,1,-4,-3,1,0,0,0.2,0.666666667,-0.466666667
511,13,3,10,w,8.148148148,45.42857143,-37.28042328,5,1,5,2,1,0,17,6,11,7,2,0,-12,-5,-6,-5,-1,0,0.2,0.352941176,-0.152941176
512,3,13,-10,l,45.42857143,8.148148148,37.28042328,5,1,5,2,1,0,17,6,11,7,2,0,-12,-5,-6,-5,-1,0,0.2,0.352941176,-0.152941176
513,8,9,-1,l,9.476190476,8.724137931,0.752052545,18,4,12,12,2,0,23,10,10,7,0,0,-5,-6,2,5,2,0,0.222222222,0.434782609,-0.212560387
514,9,8,1,w,8.724137931,9.476190476,-0.752052545,18,4,12,12,2,0,23,10,10,7,0,0,-5,-6,2,5,2,0,0.222222222,0.434782609,-0.212560387
515,16,4,12,w,5.655172414,19.55555556,-13.90038315,15,7,15,5,2,0,10,2,9,6,0,0,5,5,6,-1,2,0,0.466666667,0.2,0.266666667
516,4,16,-12,l,19.55555556,5.655172414,13.90038315,15,7,15,5,2,0,10,2,9,6,0,0,5,5,6,-1,2,0,0.466666667,0.2,0.266666667
517,11,2,9,l,8.958333333,13.03571429,-4.077380957,17,1,11,9,4,0,9,3,11,8,3,0,8,-2,0,1,1,0,0.058823529,0.333333333,-0.274509804
518,2,11,-9,w,13.03571429,8.958333333,4.077380957,17,1,11,9,4,0,9,3,11,8,3,0,8,-2,0,1,1,0,0.058823529,0.333333333,-0.274509804
519,13,1,12,w,10.23076923,25.82352941,-15.59276018,20,7,5,6,0,0,3,0,7,1,1,0,17,7,-2,5,-1,0,0.35,0,0.35
520,1,13,-12,l,25.82352941,10.23076923,15.59276018,20,7,5,6,0,0,3,0,7,1,1,0,17,7,-2,5,-1,0,0.35,0,0.35
521,5,1,4,w,7.531914894,11,-3.468085106,17,7,14,3,1,0,5,3,14,5,2,0,12,4,0,-2,-1,0,0.411764706,0.6,-0.188235294
522,1,5,-4,l,11,7.531914894,3.468085106,17,7,14,3,1,0,5,3,14,5,2,0,12,4,0,-2,-1,0,0.411764706,0.6,-0.188235294
523,4,7,-3,l,5.92,7.483870968,-1.563870968,28,9,13,9,1,0,4,1,17,6,4,0,24,8,-4,3,-3,0,0.321428571,0.25,0.071428571
524,5,5,0,l,11.36363636,10.95238095,0.41125541,16,10,9,7,4,0,12,4,9,3,3,0,4,6,0,4,1,0,0.625,0.333333333,0.291666667
525,2,7,-5,d,15.66666667,7.333333333,8.333333337,14,3,3,12,0,0,8,2,6,2,2,0,6,1,-3,10,-2,0,0.214285714,0.25,-0.035714286
526,5,5,0,w,10.95238095,11.36363636,-0.41125541,16,10,9,7,4,0,12,4,9,3,3,0,4,6,0,4,1,0,0.625,0.333333333,0.291666667
527,8,2,6,w,6.87804878,9.65,-2.77195122,18,9,15,7,2,0,8,2,11,5,6,1,10,7,4,2,-4,-1,0.5,0.25,0.25
528,2,8,-6,l,9.65,6.87804878,2.77195122,18,9,15,7,2,0,8,2,11,5,6,1,10,7,4,2,-4,-1,0.5,0.25,0.25
529,7,2,5,d,7.333333333,15.66666667,-8.333333337,14,3,3,12,0,0,8,2,6,2,2,0,6,1,-3,10,-2,0,0.214285714,0.25,-0.035714286
530,7,4,3,w,7.483870968,5.92,1.563870968,28,9,13,9,1,0,4,1,17,6,4,0,24,8,-4,3,-3,0,0.321428571,0.25,0.071428571
531,3,12,-9,l,23.125,6.066666667,17.05833333,10,3,14,3,0,0,18,7,10,7,0,0,-8,-4,4,-4,0,0,0.3,0.388888889,-0.088888889
532,12,3,9,w,6.066666667,23.125,-17.05833333,10,3,14,3,0,0,18,7,10,7,0,0,-8,-4,4,-4,0,0,0.3,0.388888889,-0.088888889
533,8,3,5,w,9.181818182,9.184210526,-0.002392344,21,9,6,3,0,0,7,2,15,5,1,0,14,7,-9,-2,-1,0,0.428571429,0.285714286,0.142857143
534,5,3,2,l,9.739130435,10.57142857,-0.832298135,19,6,11,4,2,0,6,4,6,1,3,0,13,2,5,3,-1,0,0.315789474,0.666666667,-0.350877193
535,3,8,-5,l,9.184210526,9.181818182,0.002392344,21,9,6,3,0,0,7,2,15,5,1,0,14,7,-9,-2,-1,0,0.428571429,0.285714286,0.142857143
536,3,5,-2,w,10.57142857,9.739130435,0.832298135,19,6,11,4,2,0,6,4,6,1,3,0,13,2,5,3,-1,0,0.315789474,0.666666667,-0.350877193
537,5,1,4,w,13.6,10.77777778,2.82222222,9,4,12,6,0,0,17,5,12,3,4,0,-8,-1,0,3,-4,0,0.444444444,0.294117647,0.150326797
538,1,5,-4,l,10.77777778,13.6,-2.82222222,9,4,12,6,0,0,17,5,12,3,4,0,-8,-1,0,3,-4,0,0.444444444,0.294117647,0.150326797
539,14,3,11,w,3.361111111,33.7,-30.33888889,25,7,4,16,0,0,7,4,10,8,3,0,18,3,-6,8,-3,0,0.28,0.571428571,-0.291428571
540,3,14,-11,l,33.7,3.361111111,30.33888889,25,7,4,16,0,0,7,4,10,8,3,0,18,3,-6,8,-3,0,0.28,0.571428571,-0.291428571
541,10,5,5,l,7.52173913,8.178571429,-0.656832299,11,6,13,6,1,0,19,4,16,7,2,0,-8,2,-3,-1,-1,0,0.545454545,0.210526316,0.334928229
542,5,10,-5,w,8.178571429,7.52173913,0.656832299,11,6,13,6,1,0,19,4,16,7,2,0,-8,2,-3,-1,-1,0,0.545454545,0.210526316,0.334928229
543,8,5,3,l,6.173913043,17.05555556,-10.88164252,24,8,8,8,1,0,12,3,9,7,1,0,12,5,-1,1,0,0,0.333333333,0.25,0.083333333
544,5,8,-3,w,17.05555556,6.173913043,10.88164252,24,8,8,8,1,0,12,3,9,7,1,0,12,5,-1,1,0,0,0.333333333,0.25,0.083333333
545,4,14,-10,d,17.23076923,5.461538462,11.76923077,9,5,8,4,2,0,23,6,5,14,2,0,-14,-1,3,-10,0,0,0.555555556,0.260869565,0.294685991
546,1,5,-4,d,8.857142857,6.636363636,2.220779221,21,4,11,11,4,0,8,1,9,7,3,0,13,3,2,4,1,0,0.19047619,0.125,0.06547619
547,14,4,10,d,5.461538462,17.23076923,-11.76923077,9,5,8,4,2,0,23,6,5,14,2,0,-14,-1,3,-10,0,0,0.555555556,0.260869565,0.294685991
548,5,1,4,d,6.636363636,8.857142857,-2.220779221,21,4,11,11,4,0,8,1,9,7,3,0,13,3,2,4,1,0,0.19047619,0.125,0.06547619
549,7,5,2,l,4.545454545,14.57894737,-10.03349283,14,7,8,4,1,0,10,2,11,9,1,0,4,5,-3,-5,0,0,0.5,0.2,0.3
550,5,7,-2,w,14.57894737,4.545454545,10.03349283,14,7,8,4,1,0,10,2,11,9,1,0,4,5,-3,-5,0,0,0.5,0.2,0.3
551,12,6,6,l,11.54545455,33.18181818,-21.63636363,14,5,4,3,0,0,7,1,8,5,0,0,7,4,-4,-2,0,0,0.357142857,0.142857143,0.214285714
552,6,12,-6,w,33.18181818,11.54545455,21.63636363,14,5,4,3,0,0,7,1,8,5,0,0,7,4,-4,-2,0,0,0.357142857,0.142857143,0.214285714
553,5,7,-2,d,8.375,9.117647059,-0.742647059,16,5,11,13,3,0,14,5,11,8,4,0,2,0,0,5,-1,0,0.3125,0.357142857,-0.044642857
554,7,5,2,d,9.117647059,8.375,0.742647059,16,5,11,13,3,0,14,5,11,8,4,0,2,0,0,5,-1,0,0.3125,0.357142857,-0.044642857
555,5,2,3,l,7,12.70967742,-5.70967742,13,5,12,4,3,0,14,4,14,5,2,0,-1,1,-2,-1,1,0,0.384615385,0.285714286,0.098901099
556,2,5,-3,w,12.70967742,7,5.70967742,13,5,12,4,3,0,14,4,14,5,2,0,-1,1,-2,-1,1,0,0.384615385,0.285714286,0.098901099
557,3,9,-6,l,20.29411765,4.75,15.54411765,14,6,10,9,0,0,6,4,12,4,1,0,8,2,-2,5,-1,0,0.428571429,0.666666667,-0.238095238
558,9,3,6,w,4.75,20.29411765,-15.54411765,14,6,10,9,0,0,6,4,12,4,1,0,8,2,-2,5,-1,0,0.428571429,0.666666667,-0.238095238
559,7,10,-3,w,11.8,23.13333333,-11.33333333,9,2,11,6,1,0,14,6,9,7,2,0,-5,-4,2,-1,-1,0,0.222222222,0.428571429,-0.206349207
560,4,2,2,d,9.535714286,20,-10.46428571,11,1,4,2,1,0,7,1,7,0,3,0,4,0,-3,2,-2,0,0.090909091,0.142857143,-0.051948052
561,10,7,3,w,10.31818182,5.838709677,4.479472143,10,3,12,8,4,0,10,4,19,8,4,0,0,-1,-7,0,0,0,0.3,0.4,-0.1
562,4,4,0,w,5,12.52380952,-7.52380952,6,3,14,5,0,1,14,7,15,8,3,0,-8,-4,-1,-3,-3,1,0.5,0.5,0
563,3,10,-7,l,8.0625,9.941176471,-1.878676471,10,4,12,10,0,0,12,5,8,5,0,0,-2,-1,4,5,0,0,0.4,0.416666667,-0.016666667
564,10,3,7,w,9.941176471,8.0625,1.878676471,10,4,12,10,0,0,12,5,8,5,0,0,-2,-1,4,5,0,0,0.4,0.416666667,-0.016666667
565,4,4,0,l,12.52380952,5,7.52380952,6,3,14,5,0,1,14,7,15,8,3,0,-8,-4,-1,-3,-3,1,0.5,0.5,0
566,7,10,-3,l,5.838709677,10.31818182,-4.479472143,10,3,12,8,4,0,10,4,19,8,4,0,0,-1,-7,0,0,0,0.3,0.4,-0.1
567,10,7,3,l,23.13333333,11.8,11.33333333,9,2,11,6,1,0,14,6,9,7,2,0,-5,-4,2,-1,-1,0,0.222222222,0.428571429,-0.206349207
568,2,4,-2,d,20,9.535714286,10.46428571,11,1,4,2,1,0,7,1,7,0,3,0,4,0,-3,2,-2,0,0.090909091,0.142857143,-0.051948052
569,6,4,2,d,7.580645161,12.52941176,-4.948766599,21,8,16,3,5,0,13,2,11,5,4,0,8,6,5,-2,1,0,0.380952381,0.153846154,0.227106227
570,4,6,-2,d,12.52941176,7.580645161,4.948766599,21,8,16,3,5,0,13,2,11,5,4,0,8,6,5,-2,1,0,0.380952381,0.153846154,0.227106227
571,9,3,6,w,12.71428571,19.08695652,-6.37267081,17,11,8,6,1,0,3,1,10,1,2,0,14,10,-2,5,-1,0,0.647058824,0.333333333,0.313725491
572,3,9,-6,l,19.08695652,12.71428571,6.37267081,17,11,8,6,1,0,3,1,10,1,2,0,14,10,-2,5,-1,0,0.647058824,0.333333333,0.313725491
573,2,3,-1,l,6.041666667,14.70967742,-8.668010753,12,6,11,2,2,0,7,2,9,11,4,0,5,4,2,-9,-2,0,0.5,0.285714286,0.214285714
574,3,2,1,w,14.70967742,6.041666667,8.668010753,12,6,11,2,2,0,7,2,9,11,4,0,5,4,2,-9,-2,0,0.5,0.285714286,0.214285714
575,2,8,-6,l,13.2173913,5.379310345,7.838080955,15,7,15,9,2,0,4,1,12,0,1,0,11,6,3,9,1,0,0.466666667,0.25,0.216666667
576,8,2,6,w,5.379310345,13.2173913,-7.838080955,15,7,15,9,2,0,4,1,12,0,1,0,11,6,3,9,1,0,0.466666667,0.25,0.216666667